ID,Target,Date,UT,Filter,alpha,P,eP,theta,theta,Pr,theater,Inst
,,(YY-MM-DD),,,(deg),(%),(%),(deg),(deg),(%),(deg),
19,19 Fortuna,20-08-22,16:50--17:00,Rc,10.58,1.78,0.03,63.35,0.53,-1.78,91.58,MSI
24,24 Themis,23-09-25,17:22--17:38,Rc,16.76,0.93,0.05,88.62,1.49,-0.89,98.55,MSI
24,24 Themis,23-09-28,17:31--17:36,Rc,16.34,1.32,0.14,87.42,3.13,-1.27,97.33,MSI
41,41 Daphne,22-08-17,11:35--11:48,Rc,25.25,1.52,0.03,13.57,0.54,1.52,0.00,MSI
49,49 Pales,20-08-22,16:33--16:43,Rc,10.95,1.85,0.04,60.35,0.67,-1.84,91.89,MSI
54,54 Alexandra,23-08-22,10:58--11:05,Rc,15.91,1.26,0.04,77.56,0.98,-1.26,89.44,MSI
54,54 Alexandra,23-08-24,11:10--11:27,Rc,16.68,1.15,0.06,78.32,1.56,-1.15,89.65,MSI
54,54 Alexandra,23-09-24,12:31--12:38,Rc,24.69,1.60,0.05,167.10,0.91,1.59,-3.57,MSI
54,54 Alexandra,23-09-28,10:38--10:52,Rc,25.20,1.23,0.03,162.24,0.76,1.18,-8.18,MSI
58,58 Concordia,20-03-26,15:15--15:39,Rc,11.64,1.82,0.08,-81.22,1.24,-1.82,-90.91,MSI
58,58 Concordia,20-05-07,15:30--15:54,Rc,7.49,1.72,0.08,-50.38,1.40,-1.72,90.09,MSI
58,58 Concordia,20-05-15,15:22--15:41,Rc,10.65,1.90,0.08,-57.18,1.20,-1.90,89.63,MSI
58,58 Concordia,22-11-28,09:15--12:33,Rc,5.08,1.57,0.03,56.80,0.55,-1.44,101.73,WFGS2
66,66 Maja,20-03-23,12:17--12:40,Rc,9.43,1.80,0.06,-67.45,1.00,-1.79,87.46,MSI
66,66 Maja,20-03-26,14:05--16:34,Rc,10.57,1.67,0.24,-59.13,4.04,-1.63,96.43,MSI
66,66 Maja,20-03-29,16:41--17:20,Rc,11.64,2.02,0.09,-64.23,1.22,-2.02,91.86,MSI
66,66 Maja,20-04-12,15:16--15:40,Rc,15.70,1.38,0.11,-68.47,2.34,-1.38,89.05,MSI
66,66 Maja,22-11-06,11:17--12:04,Rc,24.16,0.80,0.08,-19.32,2.97,0.80,0.67,MSI
70,70 Panopaea,23-08-23,18:07--18:21,Rc,22.76,0.96,0.12,-17.08,3.65,0.93,-6.74,MSI
91,91 Aegina,23-06-21,13:26--13:48,Rc,8.88,1.52,0.06,-83.88,1.14,-1.52,90.95,MSI
95,95 Arethusa,22-11-28,10:56--11:41,Rc,19.84,0.48,0.61,-65.12,36.29,0.02,-43.96,WFGS2
95,95 Arethusa,23-08-23,17:47--18:01,Rc,22.75,0.57,0.06,-15.18,2.91,0.56,-5.54,MSI
99,99 Dike,20-03-30,17:01--17:25,Rc,8.86,1.63,0.05,-37.01,0.94,-1.34,72.65,MSI
99,99 Dike,20-04-12,14:08--16:24,Rc,13.55,2.18,0.04,-47.90,0.54,-2.16,85.42,MSI
99,99 Dike,22-11-28,10:07--10:35,Rc,4.04,0.85,0.14,-70.46,4.84,-0.81,99.38,WFGS2
105,105 Artemis,22-11-28,15:17--15:17,Rc,11.32,1.47,0.99,23.64,19.33,-1.33,77.53,WFGS2
111,111 Ate,23-06-21,11:45--12:04,Rc,23.13,0.69,0.08,24.72,3.30,0.69,1.05,MSI
111,111 Ate,23-06-26,11:05--11:26,Rc,22.70,0.81,0.12,35.42,4.50,0.74,11.33,MSI
128,128 Nemesis,22-08-07,16:22--16:28,Rc,17.40,0.62,0.13,76.24,6.09,-0.62,-89.12,MSI
142,142 Polana,23-06-25,16:10--16:35,Rc,23.27,2.24,0.15,-22.18,1.89,2.24,0.83,MSI
144,144 Vibilia,23-06-24,17:00--17:09,Rc,27.00,2.36,0.06,-23.84,0.74,2.36,-1.06,MSI
144,144 Vibilla,23-08-30,18:22--18:44,Rc,28.93,3.44,0.11,-13.31,0.89,3.43,-0.62,MSI
144,144 Vibilla,23-09-01,19:16--19:29,Rc,28.71,3.36,0.16,-13.73,1.33,3.36,-1.34,MSI
